FileSize,EstimatedSpeed
1M,0.27652320675105485
1M,0.3084954398352457
1M,0.28470703231061634
1M,0.29127111111111115
1M,0.29127111111111115
10M,2.6613604060913705
10M,2.727115734720416
10M,2.6405842357088893
10M,2.902230833102685
10M,2.69210783055199
100M,12.86280667320903
100M,13.431228384782885
100M,12.663961352657005
100M,12.136296296296294
100M,13.196274855273094
1G,48.016359180753064
1G,51.79152151263747
1G,51.632132333140994
1G,50.89788699279484
1G,51.62468503293428
10G,60.16910935030876
10G,29.467477098210118
10G,71.17707891684067
10G,70.40099030934054
10G,72.01922476876537
100G,47.58683911958248
100G,64.83924720079517
100G,62.76409778589374
100G,73.1668007244846
100G,75.69200636980841
