FileSize,ProfiledSpeed
1M,0.22477513397642013
1M,0.5723668122270742
1M,0.7825194029850745
1M,0.6674576702737111
1M,0.7895903614457831
10M,5.232415169660679
10M,6.215625370480143
10M,6.8579202092871165
10M,6.822225113858166
10M,7.056366083445492
100M,29.925114155251144
100M,35.11640991292699
100M,40.721398058252426
100M,36.99985885673959
100M,41.44569169960475
1G,68.18274218948437
1G,63.79927653000595
1G,68.3520162963906
1G,62.69659138152516
1G,60.01575227768152
10G,64.68168381484784
10G,68.05094425959376
10G,70.5508642916278
10G,70.99354186915271
10G,67.88143963484407
100G,65.0984213171595
100G,66.65138555241462
100G,66.627935234982
100G,66.54968031118527
100G,66.384197503997
